Start Date, Start Time, End Time
3/10/2020,13:29,17:40
3/10/2020,19:0,19:12
3/10/2020,19:42,23:19
3/11/2020,15:31,19:21
3/11/2020,22:20,2:10
3/12/2020,7:9,9:38
3/13/2020,1:24,9:30
3/14/2020,0:11,3:47
3/14/2020,4:7,7:5
3/14/2020,8:44,12:24
3/15/2020,1:48,5:19
3/15/2020,5:35,10:4
3/16/2020,2:0,7:40
3/16/2020,7:40,10:1
3/17/2020,1:48,10:17
3/18/2020,2:27,10:20
3/19/2020,2:32,8:18
3/19/2020,8:33,12:40
3/20/2020,6:22,10:24
3/20/2020,10:32,13:36
3/21/2020,6:58,15:19
3/22/2020,15:4,17:13
3/23/2020,9:44,16:38
3/23/2020,16:53,19:27
3/25/2020,17:47,2:37
3/26/2020,2:37,6:10
3/26/2020,14:47,22:23
3/27/2020,14:16,22:22
3/28/2020,16:4,2:11
3/29/2020,3:0,4:0
3/29/2020,19:56,1:4
3/30/2020,1:27,5:22
3/30/2020,22:23,2:41
3/31/2020,3:11,8:3
4/1/2020,0:17,6:9
4/1/2020,6:33,11:56
4/2/2020,3:8,8:38
4/2/2020,9:13,12:50
4/3/2020,4:54,10:9
4/3/2020,10:23,12:46
4/4/2020,5:7,13:17
4/5/2020,11:47,15:53
4/5/2020,20:22,22:31
4/6/2020,11:19,15:31
4/6/2020,15:47,18:4
4/7/2020,7:47,16:15
4/7/2020,16:24,17:34
4/8/2020,11:57,15:32
4/8/2020,15:49,20:6
4/9/2020,15:53,22:53
4/10/2020,22:20,1:4
4/11/2020,4:40,7:40
4/11/2020,18:8,0:6
4/12/2020,9:50,14:7
4/12/2020,21:44,1:50
4/13/2020,2:7,5:13
4/13/2020,10:13,12:49
4/13/2020,20:41,4:57
4/15/2020,0:9,7:49
4/16/2020,2:14,6:43
4/16/2020,7:5,10:34
4/17/2020,2:0,8:30
4/17/2020,8:41,12:37
4/18/2020,5:17,10:48
4/18/2020,11:7,15:34
4/19/2020,5:35,9:38
4/19/2020,10:8,14:11
4/19/2020,18:55,21:37
4/20/2020,7:2,10:50
4/20/2020,11:0,15:29
4/21/2020,9:55,16:13
4/22/2020,10:58,16:39
4/22/2020,16:53,19:40
4/23/2020,13:11,18:38
4/23/2020,18:45,22:20
4/24/2020,16:17,21:11
4/24/2020,22:0,0:57
4/25/2020,5:58,9:20
4/25/2020,23:12,2:57
4/26/2020,17:37,2:6
4/27/2020,19:31,4:4
4/28/2020,4:15,6:28
4/28/2020,21:3,22:43
4/28/2020,23:25,2:7
4/29/2020,3:4,7:24
4/30/2020,1:42,8:36
5/1/2020,3:3,11:51
5/2/2020,3:34,12:22
5/3/2020,6:22,14:53
